state_name,cong_district,voting_age_pop,voting_rate,bachelors_more_pct,below_poverty_pct
Alabama,1,544464.00,44.6,22.7,14.4
Alabama,2,516295.00,43.8,20.8,15.2
Alabama,3,543854.00,42.6,19.3,16.9
Alabama,4,515701.00,44.8,16.4,13.9
Alabama,5,551968.00,47.2,31.4,11.4
Alabama,6,535753.00,52.0,34.1,9.2
Alabama,7,504177.00,37.5,18.1,21.5
Alaska,At-large,532244.00,53.0,27.1,9.8
Arizona,1,568661.00,46.8,22.6,16.7
Arizona,2,550044.00,53.5,30.6,11.8
Arizona,3,500787.00,35.8,15.7,15.1
Arizona,4,633528.00,43.7,18.9,11.3
Arizona,5,587681.00,53.3,35.6,6.4
Arizona,6,577899.00,54.3,42.9,7.8
Arizona,7,454957.00,29.0,16.4,15.0
Arizona,8,599423.00,50.8,29.2,6.6
Arizona,9,562791.00,46.4,37.2,10.9
Arkansas,1,548710.00,36.7,16.2,17.1
Arkansas,2,570220.00,44.4,27.6,13.6
Arkansas,3,573113.00,40.1,25.9,12.1
Arkansas,4,532069.00,38.5,15.8,16.8
California,1,553702.00,52.7,23.0,14.5
California,2,534951.00,59.0,41.3,10.3
California,3,504299.00,46.1,24.2,13.3
California,4,573118.00,59.4,32.8,7.9
California,5,508369.00,51.3,31.8,8.2
California,6,506434.00,39.9,29.4,13.0
California,7,537436.00,52.4,32.1,9.6
California,8,477512.00,35.8,16.1,14.6
California,9,482967.00,41.6,20.0,10.6
California,10,493409.00,45.0,16.8,10.6
California,11,508963.00,54.2,45.5,7.0
California,12,571300.00,55.5,61.7,9.6
California,13,536892.00,54.9,49.3,11.4
California,14,511049.00,52.2,48.6,6.0
California,15,503361.00,48.5,41.9,5.0
California,16,423147.00,33.8,14.5,20.2
California,17,438374.00,48.2,50.4,6.6
California,18,491580.00,61.5,61.3,6.0
California,19,482363.00,45.7,37.1,7.6
California,20,434889.00,51.9,30.4,9.3
California,21,354669.00,32.0,10.6,17.7
California,22,483064.00,46.0,25.6,12.3
California,23,490446.00,42.0,19.1,15.8
California,24,508333.00,56.0,33.2,12.6
California,25,482964.00,50.7,27.2,10.3
California,26,480928.00,53.1,32.4,7.0
California,27,471963.00,42.9,41.8,9.0
